time,xg,yg,zg,ug,vg,wg,phi,theta,psi
1.475,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.48,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.485,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.49,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.495,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.5,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.505,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.51,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.515,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.52,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.525,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.53,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.535,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.54,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.545,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.55,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.555,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.56,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.565,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.57,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.575,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.58,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.585,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.59,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.595,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.6,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.605,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.61,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.615,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.62,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.625,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.63,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.635,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.64,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.645,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.65,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.655,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.66,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.665,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.67,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.675,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
